"","X","new_id","retweets","favorites","text","ss_compound","topic","Open","High","Low","Close","Adj.Close","Volume","delta","presidency"
"53","2010-03-12",62,25,9,"the celebrity apprentice ha a two hour premiere this sunday march th at p m on nbc this will be the best season yet see you then",0.765,"business",1151.709961,1153.410034,1146.969971,1149.98999,1149.98999,4928160000,0,"before"
"54","2010-03-15",63,27,7,"the new season of the celebrity apprentice is off to a great start last night it swept the p m hour in every key demographic",0.6249,"business",1148.530029,1150.97998,1141.449951,1150.51001,1150.51001,4164110000,1,"before"
"55","2010-03-17",64,17,8,"olympic gold medalist evan lysacek just left my office he is in town and wanted to meet me he s a fanastic guy and a true champion",0.7717,"business",1159.939941,1169.839966,1159.939941,1166.209961,1166.209961,4963200000,1,"before"
"56","2010-03-18",65,47,15,"i am happy to announce that theoriginal apprentice which will offer job opportunity to those in need is coming back",0.7579,"business",1166.130005,1167.77002,1161.160034,1165.829956,1165.829956,4234510000,0,"before"
"57","2010-03-19",66,14,3,"last week s episode of the celebrity apprentice set the stage for a great new season tune in this sunday on nbc for even more excitement",0.8221,"business",1166.680054,1169.199951,1155.329956,1159.900024,1159.900024,5212410000,0,"before"
"58","2010-03-23",67,19,11,"the trump hotel collection is currently nominated for conde nast traveler reader choice award travel leisure and world travel award",0.7906,"business",1166.469971,1174.719971,1163.829956,1174.170044,1174.170044,4411640000,1,"before"
"59","2010-03-24",68,49,17,"the original apprentice is coming back do you have what it take to be the next apprentice for casting detail",0.3182,"business",1172.699951,1173.040039,1166.01001,1167.719971,1167.719971,4705750000,0,"before"
"60","2010-03-29",69,32,34,"the nyc casting call for the apprentice is thisthursday april at trump tower for all the information you need go to nbc comcasting",0,"business",1167.709961,1174.849976,1167.709961,1173.219971,1173.219971,4375580000,1,"before"
"61","2010-03-31",70,23,7,"don t forget the open call at trump tower tomorrow for the apprentice i look forward to seeing you there",-0.2263,"business",1171.75,1174.560059,1165.77002,1169.430054,1169.430054,4484340000,0,"before"
"62","2010-04-01",71,11,5,"today s open call drew thousand of eager applicant it wa an impressive group i enjoyed meeting them we ve got some great candidate",0.9217,"election",1171.22998,1181.430054,1170.689941,1178.099976,1178.099976,4006870000,1,"before"
"63","2010-04-06",216,43,26,"last night melania and i attended the skating with the star gala at wollman rink in central park it wa fantastic stay tuned for part then we attended the scottish fashion show that benefit veteran dressed to kilt which i co hosted with sir sean and lady connery my bestselling book from last april think like a champion is now available in paperback it s inspiring entertaining and a great read",0.9712,"business",1186.01001,1191.800049,1182.77002,1189.439941,1189.439941,4086180000,1,"before"
"64","2010-04-07",73,15,4,"trump soho open this friday and it is fantastic check out the trump hotel collection",0.5574,"business",1188.22998,1189.599976,1177.25,1182.449951,1182.449951,5101430000,0,"before"
"65","2010-04-09",74,14,9,"this is a terrific day for downtown new york trump soho is unlike anything else be sure to visit this fantastic hotel soon",0.8641,"business",1187.469971,1194.660034,1187.150024,1194.369995,1194.369995,4511570000,1,"before"
"66","2010-04-12",75,17,7,"the premiere of donald j trump s fabulous world of golf is tomorrow night at p m et on golf channel tune in for a great adventure",0.8689,"business",1194.939941,1199.199951,1194.709961,1196.47998,1196.47998,4607090000,1,"before"
"67","2010-04-13",76,94,46,"looking forward to seeing the world champion yankee today on opening day",0.5994,"business",1195.939941,1199.040039,1188.819946,1197.300049,1197.300049,5403580000,1,"before"
"68","2010-04-14",77,34,19,"before kid can go place they need a place to go the motto of the police athletic league an organization i m very proud to support",0.7474,"business",1198.689941,1210.650024,1198.689941,1210.650024,1210.650024,5760040000,1,"before"
"69","2010-04-16",78,17,9,"on sunday jerome bettis the bus from the pittsburgh steelers will play at trump int l golf clubpalm beach against julius erving dr j",0.34,"business",1210.170044,1210.170044,1186.77002,1192.130005,1192.130005,8108470000,0,"before"
"70","2010-04-20",79,133,133,"tune in to the marriage ref onthursday night at p m on nbc i m on the panel of expert along with gloria estefan adam carolla",0,"election",1199.040039,1208.579956,1199.040039,1207.170044,1207.170044,5316590000,1,"before"
"71","2010-04-21",80,3321,5260,"melania and i saw american idiot on broadway last night and it wa great an amazing theatrical experience",0.6808,"business",1207.160034,1210.98999,1198.849976,1205.939941,1205.939941,5724310000,0,"before"
"72","2010-04-22",81,24,7,"melania and i will be appearing on the view tomorrow at a m on cbs tune in for some great fun",0.8126,"election",1202.52002,1210.27002,1190.189941,1208.670044,1208.670044,6035780000,1,"before"
"73","2010-04-23",82,29,4,"to put on your calendar for may miss usa live from la vega on may th p m et on nbc i ll be there tune in for a great show",0.5423,"business",1207.869995,1217.280029,1205.099976,1217.280029,1217.280029,5326060000,1,"before"
"74","2010-04-26",83,68,16,"our thought and prayer remain with bret michael and his family and for his speedy recovery",0,"foreign affair",1217.069946,1219.800049,1211.069946,1212.050049,1212.050049,5647760000,0,"before"
"75","2010-04-28",84,16,11,"melania and i will be appearing on larry king live tonight p m on cnn be sure to tune in for some great conversation",0.7506,"domestic affair",1184.589966,1195.050049,1181.810059,1191.359985,1191.359985,6342310000,1,"before"
"76","2010-04-29",85,31,16,"melania will be on qvc tomorrow night at p m et to introduce her beautiful and inspiring melania timepiece fashion jewelry collection",0.7717,"business",1193.300049,1209.359985,1193.300049,1206.780029,1206.780029,6059410000,1,"before"
"77","2010-04-30",86,20,8,"be sure to look for my beautiful wife melania trump tonight on qvc at pm et where she will be debuting her fantastic jewelry collection",0.8689,"business",1206.77002,1207.98999,1186.319946,1186.689941,1186.689941,6048260000,0,"before"
"78","2010-05-03",261,36,28,"looking forward to the miss usa pageant sunday may on nbc p m et hosted by curtis stone and natalie morale also appearing on the miss usa pageant will be country superstar trace adkins and pop rock sensation boy like girl providing backstage commentary at the miss usa pageant will be comedic mother daughter duo joan and melissa river a fantastic lineup",0.7184,"business",1188.579956,1205.130005,1188.579956,1202.26001,1202.26001,4938050000,1,"before"
"79","2010-05-05",88,43,11,"we re all very happy to hear of bret michael s progress and send our best wish for his full recovery",0.9286,"business",1169.23999,1175.949951,1158.150024,1165.869995,1165.869995,6795940000,0,"before"
"80","2010-05-13",89,22,7,"looking forward to the miss usa pageant sunday may on nbc p m et hosted by curtis stone natalie morale live from la vega",-0.1531,"business",1170.040039,1173.569946,1156.140015,1157.439941,1157.439941,4870640000,0,"before"
"81","2010-05-17",90,105,167,"congratulation to our new miss usa the beautiful rima fakih rima will represent u well at miss universe and be a wonderful miss usa",0.8957,"business",1136.52002,1141.880005,1114.959961,1136.939941,1136.939941,5922920000,1,"before"
"82","2010-05-19",91,22,6,"put this on your calendar the celebrity apprentice live finale is this sunday at p m on nbc who will be the next celebrity apprentice",0,"business",1119.569946,1124.27002,1100.660034,1115.050049,1115.050049,6765800000,0,"before"
"83","2010-05-20",184,57,49,"check out ivanka s new facebook page and keep up with what s happening from the celebrity apprentice to jewlery to free ticket and more the latest update on bret michael is that he s making every effort to attend the live finale of celebrity apprentice on sunday so tune in",0.5106,"business",1107.339966,1107.339966,1071.579956,1071.589966,1071.589966,8328570000,0,"before"
"84","2010-05-21",93,18,21,"who s your pick bretmichaels or hollyrpeete vote now on ivanka s new facebook page",0,"election",1067.26001,1090.160034,1055.900024,1087.689941,1087.689941,5452130000,1,"before"
"85","2010-05-24",94,57,20,"congratulation to bret michael the new celebrity apprentice bret s a true champion all of u were happy to see him and to see him win",0.959,"business",1084.780029,1089.949951,1072.699951,1073.650024,1073.650024,5224040000,0,"before"
"86","2010-05-25",190,30,18,"ivanka caught up with bret and holly backstage both bret and holly were champion all the way the rating for the celebrity apprentice were fantastic and everyone had a great time it wa a terrific season congrats to everyone",0.959,"business",1067.420044,1074.75,1040.780029,1074.030029,1074.030029,7329580000,1,"before"
"87","2010-05-26",192,41,19,"scotland is beautiful i spent several year looking for the right place visiting over site and this is absolutely the right place the north coast of scotland is spectacular the sea the sand dune the rolling bluff we walked the course and it is fantastic",0.8176,"business",1075.51001,1090.75,1065.589966,1067.949951,1067.949951,4521050000,0,"before"
"88","2010-05-27",97,672,1707,"the dune here are amazing and they re how i learned about geomorphology which is the study of movement landforms we ve had a great trip",0.836,"business",1074.27002,1103.52002,1074.27002,1103.060059,1103.060059,5698460000,1,"before"
"89","2010-05-28",98,52,32,"wishing everyone a happy memorial day weekend with a special thought for all the veteran who have done so much for our freedom",0.91,"foreign affair",1102.589966,1102.589966,1084.780029,1089.410034,1089.410034,4871210000,0,"before"
"90","2010-06-02",99,29,10,"i ll be turning the table on larry king this saturday night i ll be interviewing him in honor of the th anniversary of his show",0.4939,"foreign affair",1073.01001,1098.560059,1072.030029,1098.380005,1098.380005,5026360000,1,"before"
"91","2010-06-04",200,34,9,"checking out the course at tngc westchester and it is fantastic should be a great season be sure to watch the larry king show tomorrow night on cnn p m i ll be the host larry the guest",0.875,"business",1098.430054,1098.430054,1060.5,1064.880005,1064.880005,6180580000,0,"before"
"92","2010-06-08",102,15,11,"i am honored to be chosen by gray line for their ny ride of fame campaign today we had the ribbon cutting ceremony in front of trump tower",0.7351,"domestic affair",1050.810059,1063.150024,1042.170044,1062,1062,6192750000,1,"before"
"93","2010-06-09",206,20,9,"check out gray line s site for the donald trump ride of fame rima fakih our beautiful miss usa rode with me on the gray line ride of fame yesterday",0.8442,"business",1062.75,1077.73999,1052.25,1055.689941,1055.689941,5983200000,0,"before"
"94","2010-06-10",104,12,5,"wsj cover ride of fame mod wsj_ny_realestate_middle_lsmini",0.4404,"election",1058.77002,1087.849976,1058.77002,1086.839966,1086.839966,5144780000,1,"before"
"95","2010-06-15",210,33,12,"had a fantastic dinner last night at quattro in the trump soho hotel it s already one of the hottest new restaurant in the city and trump soho new york is one of the hottest new hotel anywhere _collectiontrump_sohotrump_soho asp",0.5574,"business",1091.209961,1115.589966,1091.209961,1115.22998,1115.22998,4644490000,1,"before"
"96","2010-06-17",212,56,26,"tune in tonight at pm on tv one for the ultimate merger starring the one and only omarosa and twelve brave bachelor the ultimate merger _omarosa_is_back_and_this_time_its_personal html",0.5267,"business",1115.97998,1117.719971,1105.869995,1116.040039,1116.040039,4557760000,1,"before"
"97","2010-06-21",214,37,8,"tonight be sure to watch melania and ivanka on larry king live for a celebrity relief telethon for more information on tonight s two hour telethon to p m",0.6597,"business",1122.790039,1131.22998,1108.23999,1113.199951,1113.199951,4514360000,0,"before"
"98","2010-06-22",108,23,8,"great job on the larry king live gulf telethon last night million wa raised in hour",0.6249,"domestic affair",1113.900024,1118.5,1094.180054,1095.310059,1095.310059,4514380000,0,"before"
"99","2010-06-24",109,52,37,"the eric trump foundation ha raised over towards st jude child s research hospital",0.34,"business",1090.930054,1090.930054,1071.599976,1073.689941,1073.689941,4814830000,0,"before"
"100","2010-06-28",110,26,10,"trading shot with donald trump a great article in the wall street journal",0.6249,"personal",1077.5,1082.599976,1071.449951,1074.569946,1074.569946,3896410000,0,"before"
"101","2010-07-01",111,23,9,"work is expected to begin today on my golf course in scotland it will be spectacular",0,"business",1031.099976,1033.579956,1010.909973,1027.369995,1027.369995,6435770000,0,"before"
"102","2010-07-02",224,75,36,"wishing everyone a wonderful independence day weekend we have a lot to be thankful for due to popular demand cnn will re broadcast the larry king live show i hosted in june in which i interview larry monday july pm cnn",0.891,"domestic affair",1027.650024,1032.949951,1015.929993,1022.580017,1022.580017,3968500000,0,"before"
"103","2010-07-06",113,46,6,"the new edition of the apprentice will be on thursday this fall at pm et i m putting people back to work",0,"business",1028.089966,1042.5,1018.349976,1028.060059,1028.060059,4691240000,1,"before"
"104","2010-07-14",114,92,54,"george steinbrenner wa a great friend and a true legend there will never be anyone like him in new york we ve lost a truly great man",0.9286,"business",1095.609985,1099.079956,1087.680054,1095.170044,1095.170044,4521050000,0,"before"
"105","2010-07-19",345,34,10,"visited some very beautiful golf course this weekend this is one _clubshudson_valleyhudson_valley asp and here s another _clubscolts_neckcolts_neck asp and yet another all of them are spectacular _clubswestchesterwestchester asp",0.6361,"business",1066.849976,1074.699951,1061.109985,1071.25,1071.25,4089500000,1,"before"
"106","2010-07-20",116,77,15,"i m proud to accept the hollyrod foundation humanitarian award from holly robinson peete who raised on celebrity apprentice",0.8481,"business",1064.530029,1083.939941,1056.880005,1083.47998,1083.47998,4713280000,1,"before"
"107","2010-07-29",351,88,40,"could this be my newest apprentice enter the contest i m helping the serta counting sheep get back to work enter the contest and win a trip to la vega and stay at the fantastic trump international hotel la vega _collectiontrump_las_vegastrump_las_vegas asp",0.8625,"business",1108.069946,1115.900024,1092.819946,1101.530029,1101.530029,4612420000,0,"before"
"108","2010-07-30",118,28,6,"enter the contest stay at trump international hotel la vega",0,"business",1098.439941,1106.439941,1088.01001,1101.599976,1101.599976,4006450000,1,"before"
"109","2010-08-04",238,74,14,"the miss universe pageant will be on august p m on nbc et with bret michael and natalie morale to co host live from la vega performing live on the miss universe pageant from the mandalay bay resort casino will be telemundo orianthi john legend and the root",-0.296,"business",1121.060059,1128.75,1119.459961,1127.23999,1127.23999,4057850000,1,"before"
"110","2010-08-09",120,43,7,"mark your calender for august rd",0,"foreign affair",1122.800049,1129.23999,1120.910034,1127.790039,1127.790039,3979360000,1,"before"
"111","2010-08-12",847,221,143,"the eric trump foundation september nd ticket_list fundraiser_id eric s sept th event will be held at trump national golf club westchester _clubswestchesterwestchester asp check out the last webisode in our part series featuring me with serta which one wa your favorite www youtube comusermattressserta check out the last webisode www youtube comusermattressserta in our part series featuring me with serta which one wa your favorite friday is the last day to enter the counting sheep for hire contest click here www youtube comusermattressserta and you could win a trip that trip would be to the trump international hotel la vega _collectiontrump_las_vegastrump_las_vegas asp so don t forget to enter the serta counting sheep for hire contest www youtube comusermattressserta",0.8235,"business",1081.47998,1086.719971,1076.689941,1083.609985,1083.609985,4521050000,0,"before"
"112","2010-08-19",244,113,19,"the original apprentice return with a two hour premiere on thursday september th looking forward to a fantastic season four more day until the miss universe pageant be sure to tune in on monday night at p m on nbc it will be an amazing show",0.886,"business",1092.439941,1092.439941,1070.660034,1075.630005,1075.630005,4290540000,0,"before"
"113","2010-08-23",123,53,5,"it s going to get hotter in la vega tonight watch the miss universe pageant tonight on nbc at p m i m looking forward to being there",-0.1531,"business",1073.359985,1081.579956,1067.079956,1067.359985,1067.359985,3210950000,0,"before"
"114","2010-08-24",124,204,86,"congratulation to miss mexico jimena navarrete our new miss universe and congratulation to everyone for a fantastic show",0.8807,"business",1063.199951,1063.199951,1046.680054,1051.869995,1051.869995,4436330000,0,"before"
"115","2010-08-26",125,44,13,"the miss universe pageant raked in some great rating a great job by everyone",0.8225,"business",1056.280029,1061.449951,1045.400024,1047.219971,1047.219971,3646710000,0,"before"
"116","2010-08-30",126,22,12,"spent a beautiful weekend golfing at trump national golf club westchester and trump national golf club bedminster",0.5994,"business",1062.900024,1064.400024,1048.790039,1048.920044,1048.920044,2917990000,0,"before"
"117","2010-08-31",127,113,113,"went to the yankee game last night with bill o reilly we had a great time watching the yankee win",0.836,"domestic affair",1046.880005,1055.140015,1040.880005,1049.329956,1049.329956,4038770000,1,"before"
"118","2010-09-01",128,49,7,"i ll be on the late show with david letterman tonight be sure to tune in for a great show pm on cbs",0.7506,"business",1049.719971,1081.300049,1049.719971,1080.290039,1080.290039,4396880000,1,"before"
"119","2010-09-02",258,55,22,"check out serta s counting sheep and me at the trump international hotel new york check out trump international hotel tower new york spectacular _collectiontrump_new_yorktrump_new_york asp",0,"business",1080.660034,1090.099976,1080.390015,1090.099976,1090.099976,3704210000,1,"before"
"120","2010-09-07",260,43,22,"i wa invited by caroline wozniacki to sit with her family in her special box during her match at the u s open yesterday she s fantastic there s a lot going on at the eric trump foundation",0.743,"business",1102.599976,1102.599976,1091.150024,1091.839966,1091.839966,3107380000,0,"before"
"121","2010-09-09",131,37,12,"coming up soon the two hour premiere of the apprentice next thursday september th at pm on nbc",0,"business",1101.150024,1110.27002,1101.150024,1104.180054,1104.180054,3387770000,1,"before"
"122","2010-09-14",132,54,17,"i am very happy to have the civilian version of the apprentice back on the air this fall there will be excitement a well a opportunity",0.902,"business",1121.160034,1127.359985,1115.579956,1121.099976,1121.099976,4521050000,0,"before"
"123","2010-09-15",133,21,10,"eric did a great job with his eric trump foundation annual charity outing i m proud of him",0.875,"business",1119.430054,1126.459961,1114.630005,1125.069946,1125.069946,3369840000,1,"before"
"124","2010-09-16",134,64,12,"don t forget to tune in tonight for the two hour premiere of the apprentice pm est on nbc we re all in for a fantastic new season",0.4019,"business",1123.890015,1125.439941,1118.880005,1124.660034,1124.660034,3364080000,0,"before"
"125","2010-09-17",135,35,21,"be sure to tune in for melania s second qvc show for melania timepiece jewelry tonight live from pm on qvc",0.3182,"election",1126.390015,1131.469971,1122.430054,1125.589966,1125.589966,4086140000,1,"before"
"126","2010-09-23",136,47,9,"don t forget to tune in tonight at p m on nbc for another action packed episode of the apprentice",-0.2263,"business",1131.099976,1136.77002,1122.790039,1124.829956,1124.829956,3847850000,0,"before"
"127","2010-09-24",137,40,15,"see the new sizzle reel for the apprentice",0,"business",1131.689941,1148.900024,1131.689941,1148.670044,1148.670044,4123950000,1,"before"
"128","2010-09-30",138,113,161,"tune in tonight at pm on nbc for another exciting episode of the apprentice and see the dog whisperer make an appearance",0.4939,"business",1145.969971,1157.160034,1136.079956,1141.199951,1141.199951,4284160000,0,"before"
"129","2010-10-01",139,18,11,"read ivanka s blog about last night s apprentice on entertainment weekly",0.4215,"business",1143.48999,1150.300049,1139.420044,1146.23999,1146.23999,4298910000,1,"before"
"130","2010-10-06",140,42,10,"i m honored to be presented the award of doctor of business administration honoris causa from robert gordon university in aberdeen scotland",0.8074,"business",1159.810059,1162.329956,1154.849976,1159.969971,1159.969971,4073160000,0,"before"
"131","2010-10-07",282,58,16,"don t forget to tune in tonight for another exciting episode of the apprentice p m on nbc scotland is beautiful and trump internatonal golf link scotland is progressing beautifully a well",0.9001,"business",1161.569946,1163.869995,1151.410034,1158.060059,1158.060059,3910550000,0,"before"
